controller,gait,speed,period,step_width,command_df,achieved_df_median,achieved_df_q025,achieved_df_q975,compliance_rate,trials
adaptive_seed3,trot,0.3,0.48,0.4,0.55,0.5833333333333334,0.5833333333333334,0.5833333333333334,1.0,32
adaptive_seed3,trot,0.3,0.48,0.4,0.6,0.625,0.625,0.625,1.0,32
adaptive_seed3,trot,0.3,0.48,0.4,0.65,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,32
adaptive_seed3,trot,0.3,0.48,0.4,0.7,0.7083333333333334,0.7083333333333334,0.7083333333333334,1.0,32
adaptive_seed3,trot,0.3,0.48,0.4,0.75,0.75,0.75,0.75,1.0,32
adaptive_seed3,trot,0.3,0.48,0.5,0.5,0.5416666666666667,0.5416666666666667,0.5422526041666668,0.0,32
adaptive_seed3,trot,0.3,0.48,0.5,0.55,0.5833333333333334,0.5833333333333334,0.5833333333333334,1.0,32
adaptive_seed3,trot,0.3,0.48,0.5,0.6,0.625,0.625,0.625,1.0,32
adaptive_seed3,trot,0.3,0.48,0.5,0.65,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,32
adaptive_seed3,trot,0.3,0.48,0.5,0.7,0.7083333333333334,0.7083333333333334,0.7083333333333334,1.0,32
adaptive_seed3,trot,0.3,0.48,0.5,0.75,0.75,0.75,0.75,1.0,32
adaptive_seed3,trot,0.35,0.48,0.1,0.5,0.5520833333333334,0.5494791666666666,0.5520833333333334,0.0,32
adaptive_seed3,trot,0.35,0.48,0.1,0.55,0.59375,0.5879557291666666,0.59375,0.0,32
adaptive_seed3,trot,0.35,0.48,0.1,0.6,0.625,0.625,0.625,1.0,32
adaptive_seed3,trot,0.35,0.48,0.1,0.65,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,32
adaptive_seed3,trot,0.35,0.48,0.1,0.7,0.7083333333333334,0.7083333333333334,0.7083333333333334,1.0,32
adaptive_seed3,trot,0.35,0.48,0.1,0.75,0.75,0.75,0.75,1.0,32
adaptive_seed3,trot,0.35,0.48,0.2,0.5,0.546875,0.546875,0.5520833333333334,0.0,32
adaptive_seed3,trot,0.35,0.48,0.2,0.55,0.5833333333333334,0.5833333333333334,0.5859375,0.84375,32
adaptive_seed3,trot,0.35,0.48,0.2,0.6,0.625,0.625,0.625,1.0,32
adaptive_seed3,trot,0.35,0.48,0.2,0.65,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,32
adaptive_seed3,trot,0.35,0.48,0.2,0.7,0.7083333333333334,0.7083333333333334,0.7083333333333334,1.0,32
adaptive_seed3,trot,0.35,0.48,0.2,0.75,0.75,0.75,0.75,1.0,32
adaptive_seed3,trot,0.35,0.48,0.3,0.5,0.5520833333333334,0.5494791666666667,0.5520833333333334,0.0,32
adaptive_seed3,trot,0.35,0.48,0.3,0.55,0.5833333333333334,0.5833333333333334,0.5833333333333334,1.0,32
adaptive_seed3,trot,0.35,0.48,0.3,0.6,0.625,0.625,0.625,1.0,32
adaptive_seed3,trot,0.35,0.48,0.3,0.65,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,32
adaptive_seed3,trot,0.35,0.48,0.3,0.7,0.7083333333333334,0.7083333333333334,0.7083333333333334,1.0,32
adaptive_seed3,trot,0.35,0.48,0.3,0.75,0.75,0.75,0.75,1.0,32
adaptive_seed3,trot,0.35,0.48,0.4,0.5,0.5338541666666666,0.53125,0.5396484375000001,0.0,32
adaptive_seed3,trot,0.35,0.48,0.4,0.55,0.5833333333333334,0.5833333333333334,0.5833333333333334,1.0,32
adaptive_seed3,trot,0.35,0.48,0.4,0.6,0.625,0.625,0.625,1.0,32
adaptive_seed3,trot,0.35,0.48,0.4,0.65,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,32
adaptive_seed3,trot,0.35,0.48,0.4,0.7,0.7083333333333334,0.7083333333333334,0.7083333333333334,1.0,32
adaptive_seed3,trot,0.35,0.48,0.4,0.75,0.75,0.75,0.75,1.0,32
adaptive_seed3,trot,0.35,0.48,0.5,0.5,0.5364583333333334,0.5364583333333334,0.5416666666666667,0.0,32
adaptive_seed3,trot,0.35,0.48,0.5,0.55,0.5833333333333334,0.5833333333333334,0.5833333333333334,1.0,32
adaptive_seed3,trot,0.35,0.48,0.5,0.6,0.625,0.625,0.625,1.0,32
adaptive_seed3,trot,0.35,0.48,0.5,0.65,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,32
adaptive_seed3,trot,0.35,0.48,0.5,0.7,0.7083333333333334,0.7083333333333334,0.7083333333333334,1.0,32
adaptive_seed3,trot,0.35,0.48,0.5,0.75,0.75,0.75,0.75,1.0,32
adaptive_seed3,trot,0.4,0.48,0.1,0.5,0.546875,0.5462890625,0.546875,0.0,32
adaptive_seed3,trot,0.4,0.48,0.1,0.55,0.59375,0.5879557291666666,0.59375,0.0,32
adaptive_seed3,trot,0.4,0.48,0.1,0.6,0.625,0.625,0.625,1.0,32
adaptive_seed3,trot,0.4,0.48,0.1,0.65,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,32
adaptive_seed3,trot,0.4,0.48,0.1,0.7,0.7083333333333334,0.7083333333333334,0.7083333333333334,1.0,32
adaptive_seed3,trot,0.4,0.48,0.1,0.75,0.75,0.75,0.75,1.0,32
adaptive_seed3,trot,0.4,0.48,0.2,0.5,0.5455729166666667,0.5442708333333334,0.546875,0.0,32
adaptive_seed3,trot,0.4,0.48,0.2,0.55,0.5833333333333334,0.5833333333333334,0.5833333333333334,1.0,32
adaptive_seed3,trot,0.4,0.48,0.2,0.6,0.625,0.625,0.625,1.0,32
adaptive_seed3,trot,0.4,0.48,0.2,0.65,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,32
adaptive_seed3,trot,0.4,0.48,0.2,0.7,0.7083333333333334,0.7083333333333334,0.7083333333333334,1.0,32
adaptive_seed3,trot,0.4,0.48,0.2,0.75,0.75,0.75,0.75,1.0,32
adaptive_seed3,trot,0.4,0.48,0.3,0.5,0.5520833333333334,0.5514973958333333,0.5520833333333334,0.0,32
adaptive_seed3,trot,0.4,0.48,0.3,0.55,0.5833333333333334,0.5833333333333334,0.5833333333333334,1.0,32
adaptive_seed3,trot,0.4,0.48,0.3,0.6,0.625,0.625,0.625,1.0,32
adaptive_seed3,trot,0.4,0.48,0.3,0.65,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,32
adaptive_seed3,trot,0.4,0.48,0.3,0.7,0.7083333333333334,0.7083333333333334,0.7083333333333334,1.0,32
adaptive_seed3,trot,0.4,0.48,0.3,0.75,0.75,0.75,0.75,1.0,32
adaptive_seed3,trot,0.4,0.48,0.4,0.5,0.53125,0.53125,0.5318359375,0.0,32
adaptive_seed3,trot,0.4,0.48,0.4,0.55,0.5833333333333334,0.5833333333333334,0.5833333333333334,1.0,32
adaptive_seed3,trot,0.4,0.48,0.4,0.6,0.625,0.625,0.625,1.0,32
adaptive_seed3,trot,0.4,0.48,0.4,0.65,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,32
adaptive_seed3,trot,0.4,0.48,0.4,0.7,0.7083333333333334,0.7083333333333334,0.7083333333333334,1.0,32
adaptive_seed3,trot,0.4,0.48,0.4,0.75,0.75,0.75,0.75,1.0,32
adaptive_seed3,trot,0.4,0.48,0.5,0.5,0.5416666666666666,0.5410807291666666,0.5442708333333334,0.0,32
adaptive_seed3,trot,0.4,0.48,0.5,0.55,0.5833333333333334,0.5833333333333334,0.5833333333333334,1.0,32
